company_id,cashflow_health_score
VBL,90
ABB,100
ADANIENSOL,100
ADANIENT,90
ADANIGREEN,90
ADANIPORTS,100
ADANIPOWER,90
AMBUJACEM,90
APOLLOHOSP,100
ASIANPAINT,100
AGTL,100
AXISBANK,70
BAJAJ-AUTO,100
BAJAJFINSV,70
BAJAJHLDNG,100
BAJFINANCE,70
BANKBARODA,60
BEL,90
BHARTIARTL,100
BHEL,60
BOSCHLTD,90
BPCL,90
BRITANNIA,90
CANBK,100
CHOLAFIN,60
CIPLA,90
COALINDIA,90
DABUR,90
DIVISLAB,100
DLF,90
DMART,100
DRREDDY,100
EICHERMOT,100
GAIL,100
GODREJCP,90
GRASIM,70
HAL,90
HAVELLS,90
HCLTECH,100
HDFCBANK,90
HDFCLIFE,90
HEROMOTOCO,100
HINDALCO,90
HINDUNILVR,100
ICICIBANK,90
ICICIGI,100
ICICIPRULI,70
INDIGO,90
INDUSINDBK,70
INFY,100
IOC,100
IRCTC,100
IRFC,90
ITC,90
JINDALSTEL,80
JIOFIN,70
JSWENERGY,80
JSWSTEEL,90
KOTAKBANK,90
LICI,90
LODHA,90
LT,80
LTIM,90
M&M,70
MARUTI,100
MOTHERSON,90
NAUKRI,80
NESTLEIND,90
NHPC,100
NTPC,100
ONGC,90
PFC,70
PIDILITIND,100
PNB,60
POWERGRID,90
RECLTD,70
RELIANCE,100
SBILIFE,90
SBIN,100
SHREECEM,100
SHRIRAMFIN,60
SUNPHARMA,100
TATACONSUM,90
TATAMOTORS,100
TATAPOWER,90
TATASTEEL,90
TECHM,100
TITAN,100
TORNTPHARM,100
TRENT,100
TVSMOTOR,70
ULTRACEMCO,100
UNIONBANK,100
UNITDSPR,90
VEDL,90
WIPRO,90
ZOMATO,100
ZYDUSLIFE,90
TCS,90
SIEMENS,100
