company_id,year,cluster
ABB,Mar 2024,0
ADANIENSOL,Mar 2024,0
ADANIENT,Mar 2024,0
ADANIGREEN,Mar 2024,4
ADANIPORTS,Mar 2024,3
ADANIPOWER,Mar 2024,0
AMBUJACEM,Mar 2024,0
APOLLOHOSP,Mar 2024,0
ASIANPAINT,Mar 2024,0
ATGL,Mar 2024,0
BAJAJ-AUTO,Mar 2024,0
AXISBANK,Mar 2024,4
BAJAJFINSV,Mar 2024,1
BAJAJHLDNG,Mar 2024,3
BAJFINANCE,Mar 2024,1
BANKBARODA,Mar 2024,4
BHARTIARTL,Mar 2024,3
BEL,Mar 2024,2
BHEL,Mar 2024,0
BOSCHLTD,Mar 2024,0
BPCL,Mar 2024,0
BRITANNIA,Mar 2024,0
CANBK,Mar 2024,4
CHOLAFIN,Mar 2024,1
CIPLA,Mar 2024,3
COALINDIA,Mar 2024,3
DABUR,Mar 2024,0
DIVISLAB,Mar 2024,0
DLF,Mar 2024,0
DMART,Mar 2024,0
DRREDDY,Mar 2024,0
EICHERMOT,Mar 2024,0
GAIL,Mar 2024,0
GODREJCP,Mar 2024,0
GRASIM,Mar 2024,0
HAL,Mar 2024,2
HAVELLS,Mar 2024,0
HCLTECH,Mar 2024,0
HDFCBANK,Mar 2024,4
HDFCLIFE,Mar 2024,3
HEROMOTOCO,Mar 2024,3
HINDALCO,Mar 2024,3
HINDUNILVR,Mar 2024,3
ICICIBANK,Mar 2024,4
ICICIGI,Mar 2024,3
ICICIPRULI,Mar 2024,3
INDUSINDBK,Mar 2024,4
INFY,Mar 2024,0
IOC,Mar 2024,0
IRCTC,Mar 2024,0
IRFC,Mar 2024,4
ITC,Mar 2024,0
JINDALSTEL,Mar 2024,0
JIOFIN,Mar 2024,3
JSWENERGY,Mar 2024,0
JSWSTEEL,Mar 2024,0
KOTAKBANK,Mar 2024,3
LICI,Mar 2024,0
LODHA,Mar 2024,0
LT,Mar 2024,0
LTIM,Mar 2024,0
M&M,Mar 2024,0
MARUTI,Mar 2024,0
MOTHERSON,Mar 2024,0
NAUKRI,Mar 2024,0
NESTLEIND,Mar 2024,0
NHPC,Mar 2024,0
NTPC,Mar 2024,0
ONGC,Mar 2024,0
PFC,Mar 2024,1
PIDILITIND,Mar 2024,0
PNB,Mar 2024,1
POWERGRID,Mar 2024,3
RECLTD,Mar 2024,1
RELIANCE,Mar 2024,0
SBILIFE,Mar 2024,0
SHREECEM,Mar 2024,0
SHRIRAMFIN,Mar 2024,1
SIEMENS,Sep 2024,0
SUNPHARMA,Mar 2024,0
TATACONSUM,Mar 2024,0
TATAMOTORS,Mar 2024,0
TATAPOWER,Mar 2024,0
TATASTEEL,Mar 2024,0
TCS,Mar 2024,0
TECHM,Mar 2024,0
TITAN,Mar 2024,0
TORNTPHARM,Mar 2024,0
TRENT,Mar 2024,0
TVSMOTOR,Mar 2024,0
ULTRACEMCO,Mar 2024,0
UNIONBANK,Mar 2024,4
INDIGO,Mar 2024,3
